,AutoML_solution,task,trainings_id,dataset_name,dataset_size_in_mb,dataset_rows,dataset_cols,missing_values,duplicated_rows,duplicated_cols,outliers,runtime,runtime_limit,failed,:balanced_accuracy,:rooted_mean_squared_error,relative_:balanced_accuracy,relative_:rooted_mean_squared_error
98,:mljar,:tabular_classification,65001b7f6b572b20db7d3d8b,KDDCup09_appetency.csv,34.244496,50000,231,151.86,0.0,1.32,0.09,248.42468333333332,240,0,0.582751630712068,,1.0,
99,:autokeras,:tabular_classification,65001b7f6b572b20db7d3d8b,KDDCup09_appetency.csv,34.244496,50000,231,151.86,0.0,1.32,0.09,320.26883333333336,240,0,0.5,,0.857998457059737,
100,:pycaret,:tabular_classification,64e3103f856d734ade43af3a,LED-display-domain-7digit.csv,0.016577,500,8,0.0,0.85,0.0,0.18,1.1286333333333334,60,0,0.6807828282828282,,0.9705162358701129,
101,:lama,:tabular_classification,64e3103f856d734ade43af3a,LED-display-domain-7digit.csv,0.016577,500,8,0.0,0.85,0.0,0.18,3.59335,60,0,0.6814646464646466,,0.9714882280941753,
102,:autokeras,:tabular_classification,64e3103f856d734ade43af3a,LED-display-domain-7digit.csv,0.016577,500,8,0.0,0.85,0.0,0.18,3.8602,60,0,0.6787626262626263,,0.9676362589099288,
103,:autogluon,:tabular_classification,64e3103f856d734ade43af3a,LED-display-domain-7digit.csv,0.016577,500,8,0.0,0.85,0.0,0.18,5.087133333333333,60,0,0.6523737373737374,,0.9300165598675211,
104,:evalml,:tabular_classification,64e3103f856d734ade43af3a,LED-display-domain-7digit.csv,0.016577,500,8,0.0,0.85,0.0,0.18,10.997000000000002,60,0,0.6623737373737373,,0.9442724458204333,
105,:mljar,:tabular_classification,64e3103f856d734ade43af3a,LED-display-domain-7digit.csv,0.016577,500,8,0.0,0.85,0.0,0.18,51.39581666666666,60,0,0.6814646464646466,,0.9714882280941753,
106,:gama,:tabular_classification,64e3103f856d734ade43af3a,LED-display-domain-7digit.csv,0.016577,500,8,0.0,0.85,0.0,0.18,54.31171666666667,60,0,0.7014646464646465,,1.0,
107,:tpot,:tabular_classification,64e3103f856d734ade43af3a,LED-display-domain-7digit.csv,0.016577,500,8,0.0,0.85,0.0,0.18,60.21136666666666,60,0,0.6714646464646464,,0.9572323421412628,
108,:flaml,:tabular_classification,64e3103f856d734ade43af3a,LED-display-domain-7digit.csv,0.016577,500,8,0.0,0.85,0.0,0.18,62.65623333333333,60,0,0.6714646464646465,,0.957232342141263,
109,:pycaret,:tabular_classification,650d3b622dae03db08872cd6,LED-display-domain-7digit.csv,0.016577,500,8,0.0,0.85,0.0,0.18,1.3475166666666667,240,0,0.6914646464646464,,0.9844682533975695,
110,:lama,:tabular_classification,650d3b622dae03db08872cd6,LED-display-domain-7digit.csv,0.016577,500,8,0.0,0.85,0.0,0.18,2.8403,240,0,0.6814646464646466,,0.9702308190120084,
111,:autokeras,:tabular_classification,650d3b622dae03db08872cd6,LED-display-domain-7digit.csv,0.016577,500,8,0.0,0.85,0.0,0.18,4.865733333333334,240,0,0.6787626262626263,,0.9663838354785359,
112,:autogluon,:tabular_classification,650d3b622dae03db08872cd6,LED-display-domain-7digit.csv,0.016577,500,8,0.0,0.85,0.0,0.18,5.2965,240,0,0.6523737373737374,,0.9288128280721938,
